responses,answers,query,game_name,task_id
"(move
    (from (handSite Mover))
    (to (site 2 2 1))
    (then (""ReplayIfLine3"" Orthogonal exact:True))
)",(Move Cell 16 - Vertex E5),Player 1 places their piece on the upper right corner of the outer square.,achi,0
(Move Cell 13 - Vertex E2),(Move Cell 17 - Vertex C4),Player 2 places their piece on the middle point of the upper side of the inner square.,achi,0
(Move Cell 13 - Vertex D5),(Move Cell 16 - Vertex E3),Player 1 places their piece on the middle point of the right side of the outer square.,achi,0
(Move Cell 17 - Vertex D2),(Move Cell 17 - Vertex C1),Player 2 places their piece on the middle point of the lower side of the outer square.,achi,0
(Move Cell 16 - Vertex E1),(Move Cell 16 - Vertex E1),Player 1 places their piece on the lower right corner of the outer square.,achi,0
"(move
    (from (handSite Mover))
    (to (site 0 0 1))
    (then (""ReplayIfLine3"" Orthogonal exact:True))
)",(Move Cell 16 - Vertex A5),Player 1 places their piece on the upper left corner of the outer square.,achi,1
(Move Cell 4 - Vertex A3),(Move Cell 17 - Vertex A1),Player 2 places their piece on the lower left corner of the outer square.,achi,1
(Move Cell 19 - Vertex B4),(Move Cell 16 - Vertex C4),Player 1 places their piece on the middle point of the upper side of the inner square.,achi,1
(Move Cell 17 - Vertex E1),(Move Cell 17 - Vertex D2),Player 2 places their piece on the lower right corner of the inner square.,achi,1
(Move Cell 16 - Vertex B3),(Move Cell 16 - Vertex B3),Player 1 places their piece on the middle point of the left side of the inner square.,achi,1
"(move
    (from (handSite Mover))
    (to (site 2 2 1))
    (then (""ReplayIfLine3"" Orthogonal exact:True))
)",(Move Cell 16 - Vertex E5),Player 1 places their piece on the upper right corner of the outer square.,achi,2
(Move Cell 4 - Vertex E3),(Move Cell 17 - Vertex D4),Player 2 places their piece on the upper right corner of the inner square.,achi,2
(Move Cell 19 - Vertex E4),(Move Cell 16 - Vertex E3),Player 1 places their piece on the middle point of the right side of the outer square.,achi,2
(Move Cell 17 - Vertex D3),(Move Cell 17 - Vertex D3),Player 2 places their piece on the middle point of the right side of the inner square.,achi,2
(Move Cell 16 - Vertex E1),(Move Cell 16 - Vertex E1),Player 1 places their piece on the lower right corner of the outer square.,achi,2
(RemoveCell Cell 17),(Remove D3),Player 1 captures player 2's piece on the middle point of the right side of the inner square.,achi,2
"(move
    (from (handSite Mover))
    (to (site 2 2 1)))",(Move Cell 16 - Vertex E5),Player 1 places their piece on the upper right corner of the outer square.,achi,3
(Move Cell 13 - Vertex E2),(Move Cell 17 - Vertex E3),Player 2 places their piece on the middle point of the right side of the outer square.,achi,3
(Move Cell 18 - Vertex E1),(Move Cell 16 - Vertex E1),Player 1 places their piece on the lower right corner of the outer square.,achi,3
(Move Cell 9 - Vertex C5),(Move Cell 17 - Vertex A5),Player 2 places their piece on the upper left corner of the outer square.,achi,3
(Move Cell 16 - Vertex C1),(Move Cell 16 - Vertex C2),Player 1 places their piece on the middle point of the lower side of the inner square.,achi,3
(Move Cell 17 - Vertex D4),(Move Cell 17 - Vertex D4),Player 2 places their piece on the upper right corner of the inner square.,achi,3
(Move Cell 16 - Vertex A1),(Move Cell 16 - Vertex A1),Player 1 places their piece on the lower left corner of the outer square.,achi,3
(Move Cell 17 - Vertex C1),(Move Cell 17 - Vertex C1),Player 2 places their piece on the middle point of the lower side of the outer square.,achi,3
(Move Cell 16 - Vertex C5),(Move Cell 16 - Vertex C5),Player 1 places their piece on the middle point of the upper side of the outer square.,achi,3
(Move Cell 17 - Vertex D2),(Move Cell 17 - Vertex D2),Player 2 places their piece on the lower right corner of the inner square.,achi,3
(Move Cell 16 - Vertex D5),(Move Cell 16 - Vertex B4),Player 1 places their piece on the upper left corner of the inner square.,achi,3
(Move Cell 17 - Vertex A3),(Move Cell 17 - Vertex A3),Player 2 places their piece on the middle point of the left side of the outer square.,achi,3
(Move Cell 16 - Vertex B2),(Move B4-B3),Player 1 moves their piece from the upper left corner of the inner square to the middle point of the left side of the inner square.,achi,3
