responses,answers,query,game_name,task_id,move_num
(Move (sites Cell 4 1) (sites Cell 4 2)),(Move D4-D3),"Player 1 moves their piece from 1st row, 4th column to 2nd row, 4th column.",asimplegame,0,0
(Move (sites Cell 3 1) (sites Cell 4 1)),(Move C4-D4),"Player 2 moves their piece from 1st row, 3rd column to 1st row, 4th column.",asimplegame,0,1
(Move (sites Cell 2 1) (sites Cell 2 2)),(Move B4-B3),"Player 1 moves their piece from 1st row, 2nd column to 2nd row, 2nd column.",asimplegame,0,2
(Move (sites Cell 2 4) (sites Cell 2 3)),(Move B1-B2),"Player 2 moves their piece from 4th row, 2nd column to 3rd row, 2nd column.",asimplegame,0,3
(Move (sites Cell 3 4) (sites Cell 3 3)),(Move C1-C2),"Player 1 moves their piece from 4th row, 3rd column to 3rd row, 3rd column.",asimplegame,0,4
(Move (sites Cell 4 4) (sites Cell 4 3)),(Move D1-D2),"Player 2 moves their piece from 4th row, 4th column to 3rd row, 4th column.",asimplegame,0,5
(Move (sites Cell 3 3) (sites Cell 3 2)),(Move C2-C3),"Player 1 moves their piece from 3rd row, 3rd column to 2nd row, 3rd column.",asimplegame,0,6
(Move (sites Cell 4 3) (sites Cell 3 3)),(Move C1-C2),"Player 1 moves their piece from 4th row, 3rd column to 3rd row, 3rd column.",asimplegame,1,0
(Move (sites Cell 1 3) (sites Cell 2 3)),(Move C4-C3),"Player 2 moves their piece from 1st row, 3rd column to 2nd row, 3rd column.",asimplegame,1,1
(Move (sites Cell 1 2) (sites Cell 1 3)),(Move B4-C4),"Player 1 moves their piece from 1st row, 2nd column to 1st row, 3rd column.",asimplegame,1,2
(Move (sites Cell 4 3) (sites Cell 3 3)),(Move C1-C2),"Player 1 moves their piece from 4th row, 3rd column to 3rd row, 3rd column.",asimplegame,2,0
(Move (sites Cell 1 2) (sites Cell 2 2)),(Move B1-B2),"Player 2 moves their piece from 4th row, 2nd column to 3rd row, 2nd column.",asimplegame,2,1
(Move (sites Cell 4 1) (sites Cell 4 2)),(Move A1-B1),"Player 1 moves their piece from 4th row, 1st column to 4th row, 2nd column.",asimplegame,2,2
(Move (sites Cell 4 3) (sites Cell 3 3)),(Move C1-C2),"Player 1 moves their piece from 4th row, 3rd column to 3rd row, 3rd column.",asimplegame,3,0
(Move (sites Cell 1 3) (sites Cell 2 3)),(Move C4-C3),"Player 2 moves their piece from 1st row, 3rd column to 2nd row, 3rd column.",asimplegame,3,1
(Move (sites Cell 1 4) (sites Cell 1 3)),(Move D4-C4),"Player 1 moves their piece from 1st row, 4th column to 1st row, 3rd column.",asimplegame,3,2
